ip,ms,x,y,z,
192.168.1.109,1106,0.08984375,-0.3203125,0.92578125,
192.168.1.109,1109,0.1015625,-0.298828125,0.912109375,
192.168.1.109,1111,0.095703125,-0.294921875,0.91796875,
192.168.1.109,1114,0.08984375,-0.291015625,0.904296875,
192.168.1.109,1116,0.078125,-0.298828125,0.88671875,
192.168.1.109,1119,0.078125,-0.306640625,0.8671875,
192.168.1.109,1121,0.072265625,-0.31640625,0.857421875,
192.168.1.109,1124,0.072265625,-0.349609375,0.857421875,
192.168.1.109,1126,0.076171875,-0.38671875,0.8203125,
192.168.1.109,1129,0.09765625,-0.400390625,0.82421875,
192.168.1.109,1131,0.09765625,-0.4140625,0.80859375,
192.168.1.109,1134,0.08203125,-0.41796875,0.806640625,
192.168.1.109,1136,0.076171875,-0.40625,0.828125,
192.168.1.109,1139,0.0703125,-0.396484375,0.822265625,
192.168.1.109,1141,0.044921875,-0.375,0.8203125,
192.168.1.109,1144,0.021484375,-0.361328125,0.818359375,
192.168.1.109,1146,0.01171875,-0.33984375,0.818359375,
192.168.1.109,1149,0.01171875,-0.326171875,0.83203125,
192.168.1.109,1151,0.013671875,-0.333984375,0.81640625,
192.168.1.109,1154,0.009765625,-0.33203125,0.830078125,
192.168.1.109,1156,0.005859375,-0.3125,0.83984375,
192.168.1.109,1159,-0.00390625,-0.2890625,0.849609375,
192.168.1.109,1161,-0.013671875,-0.287109375,0.849609375,
192.168.1.109,1164,-0.029296875,-0.27734375,0.828125,
192.168.1.109,1166,-0.05078125,-0.2578125,0.8125,
192.168.1.109,1169,-0.0546875,-0.2265625,0.837890625,
192.168.1.109,1172,-0.052734375,-0.20703125,0.83984375,
192.168.1.109,1174,-0.029296875,-0.203125,0.845703125,
192.168.1.109,1177,-0.015625,-0.193359375,0.845703125,
192.168.1.109,1179,-0.015625,-0.166015625,0.85546875,
192.168.1.109,1182,0.0,-0.130859375,0.826171875,
192.168.1.109,1184,0.013671875,-0.107421875,0.822265625,
192.168.1.109,1187,0.052734375,-0.0859375,0.837890625,
192.168.1.109,1190,0.080078125,-0.052734375,0.8125,
192.168.1.109,1192,0.095703125,-0.013671875,0.810546875,
192.168.1.109,1195,0.130859375,0.005859375,0.783203125,
192.168.1.109,1197,0.181640625,0.041015625,0.853515625,
192.168.1.109,1200,0.240234375,0.02734375,0.880859375,
192.168.1.109,1203,0.279296875,0.017578125,0.859375,
192.168.1.109,1205,0.287109375,0.017578125,0.837890625,
192.168.1.109,1208,0.26953125,0.041015625,0.841796875,
192.168.1.109,1210,0.21875,0.048828125,0.802734375,
192.168.1.109,1213,0.216796875,0.037109375,0.77734375,
192.168.1.109,1217,0.224609375,0.064453125,0.85546875,
192.168.1.109,1219,0.216796875,0.115234375,0.896484375,
